-1	0.0293
-0.96	0.08615
-0.92	0.140525
-0.88	0.19695
-0.84	0.238075
-0.8	0.29855
-0.76	0.34145
-0.72	0.3803
-0.68	0.419
-0.64	0.456525
-0.6	0.4975
-0.56	0.527325
-0.52	0.567225
-0.48	0.5945
-0.44	0.615425
-0.4	0.6442
-0.36	0.66905
-0.32	0.67315
-0.28	0.698075
-0.24	0.7159
-0.2	0.722825
-0.16	0.7284
-0.12	0.74365
-0.08	0.75275
-0.04	0.759425
0	0.7456
0.04	0.7531
0.08	0.74555
0.12	0.732375
0.16	0.723675
0.2	0.713025
0.24	0.703425
0.28	0.68105
0.32	0.663575
0.36	0.6439
0.4	0.613775
0.44	0.587775
0.48	0.564
0.52	0.529675
0.56	0.5009
0.6	0.456825
0.64	0.4263
0.68	0.38275
0.72	0.3409
0.76	0.299175
0.8	0.244425
0.84	0.19445
0.88	0.139775
0.92	0.089
0.96	0.028775
